No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
1	SV10-SN-4092-CO 	SV10-SN-4092-CO	El Porvenir 	"C.A.L, S.A. de C.V."	1	0	La Libertad	San Juan Opico	El Refugio	1	91.7	82.95	38552	38552.15	0.67	0.53	13.89759	-89.4494	"Jan 05,11"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
2	SFC-F-00336	SFC-F-00336	Los Cuatro	"A.GON. B., S. A. de C. V."	1	0	La Libertad	Santa Tecla	Victoria	1	10.5	9.45	13636	13636	0.38	0.38	13.7106	-89.2823	"Jan 15,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/15/13			
3	SFC-F-00337	SFC-F-00336	Tonina	"A.GON. B., S. A. de C. V."	1	0	La Libertad	Tepecoyo	San Antonio	1	43.88	40.6	54545	13636	0.38	0.38	13.71067	-89.47499	"Jan 15,13"	Rainforest Alliance CertifiedTM	Certificada	2012	02/08/13			
4	SFC-F-01180	#N/A	Las Lajas	"ACOPRA Las Lajas, de R.L."	1	0	Sonsonate	Izalco	Las Lajas	1	868.92	645.75	494213	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2000	04/27/13			
5		SFC-G-00678	ACO-BOQUERON DE R.L.	ACO-BOQUERON DE R.L.	1	0								92181.87	0	0	13.73311	-89.26749	"Jan 31,11"							
6		SFC-F-01289	Santa Adelaida	ACOPASA DE R.L.	1	0								280772	0.45	0.45	13.65503	-89.3669	"Oct 20,12"							
7	SFC-F-00873	SFC-F-00873	El Porvenir	Adilia Encarnación Aguilar Murillo de P.	1	0	San Miguel 	Chinameca	San antonio	1	107.97	103.77	90909.09	90909	0.5	0.5	13.47037	-88.35079	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2006	10/31/13			
8	SFC-C-01991	#N/A	Beneficio El Carmen	"Agrícola San Agustín, S. A. de C. V, "	0	1	 Ahuachapan	"Concepción de Ataco,"	"Concepción de Ataco,"	1	N/A	N/A	N/A	#N/A	#N/A	#N/A	0	0	#N/A	Rainforest Alliance CertifiedTM	CdC	2010	02/07/14			
9		#N/A	AGASACARE DE R.L.	AGASACARE DE R.L.	1	0								#N/A	#N/A	#N/A	14.2673	-89.15707	#N/A							
10	SFC-C-01909	SFC-F-03755	Beneficio Guadalupe	"Agro Industrias Homberger, S. A.de C. V. (AGRIN, S.A. de C.V.)"	0	1	San Miguel	Chinameca	Valle Nuevo	1	N/A	N/A	N/A	181818	0.41	0.41	0	0	"Dec 06,12"	Rainforest Alliance CertifiedTM	CdC	2006	04/30/16			
